
 Iteration  30  for n, p, epsilon =  100 1 0.5
 Iteration  26  for n, p, epsilon =  100 1 1
 Iteration  28  for n, p, epsilon =  100 1 1
 Iteration  27  for n, p, epsilon =  100 1 1
 Iteration  25  for n, p, epsilon =  100 1 1
 Iteration  17  for n, p, epsilon =  100 1 1
 Iteration  19  for n, p, epsilon =  100 1 2.5
 Iteration  21  for n, p, epsilon =  100 1 2.5
 Iteration  16  for n, p, epsilon =  100 1 2.5
 Iteration  23  for n, p, epsilon =  100 1 2.5
 Iteration  18  for n, p, epsilon =  100 1 2.5
 Iteration  24  for n, p, epsilon =  100 1 2.5
 Iteration  22  for n, p, epsilon =  100 1 2.5
 Iteration  25  for n, p, epsilon =  100 1 2.5
 Iteration  20  for n, p, epsilon =  100 1 2.5
 Iteration  28  for n, p, epsilon =  100 1 2.5
 Iteration  26  for n, p, epsilon =  100 1 2.5
 Iteration  29  for n, p, epsilon =  100 1 0.75
 Iteration  17  for n, p, epsilon =  100 1 2.5
 Iteration  27  for n, p, epsilon =  100 1 2.5
 Iteration  19  for n, p, epsilon =  100 1 1000
 Iteration  21  for n, p, epsilon =  100 1 1000
 Iteration  16  for n, p, epsilon =  100 1 1000
 Iteration  23  for n, p, epsilon =  100 1 1000
 Iteration  18  for n, p, epsilon =  100 1 1000
 Iteration  30  for n, p, epsilon =  100 1 0.75
 Iteration  25  for n, p, epsilon =  100 1 1000
 Iteration  24  for n, p, epsilon =  100 1 1000
 Iteration  22  for n, p, epsilon =  100 1 1000
 Iteration  17  for n, p, epsilon =  100 1 1000
 Iteration  28  for n, p, epsilon =  100 1 1000
 Iteration  20  for n, p, epsilon =  100 1 1000
 Iteration  27  for n, p, epsilon =  100 1 1000
 Iteration  26  for n, p, epsilon =  100 1 1000
 Iteration  31  for n, p, epsilon =  100 1 0.5
 Iteration  32  for n, p, epsilon =  100 1 0.5
 Iteration  29  for n, p, epsilon =  100 1 1
 Iteration  35  for n, p, epsilon =  100 1 0.5
 Iteration  33  for n, p, epsilon =  100 1 0.5
 Iteration  34  for n, p, epsilon =  100 1 0.5
 Iteration  38  for n, p, epsilon =  100 1 0.5
 Iteration  37  for n, p, epsilon =  100 1 0.5
 Iteration  40  for n, p, epsilon =  100 1 0.5
 Iteration  39  for n, p, epsilon =  100 1 0.5
 Iteration  36  for n, p, epsilon =  100 1 0.5
 Iteration  43  for n, p, epsilon =  100 1 0.5
 Iteration  41  for n, p, epsilon =  100 1 0.5
 Iteration  30  for n, p, epsilon =  100 1 1
 Iteration  42  for n, p, epsilon =  100 1 0.5
 Iteration  31  for n, p, epsilon =  100 1 0.75
 Iteration  32  for n, p, epsilon =  100 1 0.75
 Iteration  35  for n, p, epsilon =  100 1 0.75
 Iteration  33  for n, p, epsilon =  100 1 0.75
 Iteration  29  for n, p, epsilon =  100 1 2.5
 Iteration  39  for n, p, epsilon =  100 1 0.75
 Iteration  38  for n, p, epsilon =  100 1 0.75
 Iteration  43  for n, p, epsilon =  100 1 0.75
 Iteration  37  for n, p, epsilon =  100 1 0.75
 Iteration  40  for n, p, epsilon =  100 1 0.75
 Iteration  34  for n, p, epsilon =  100 1 0.75
 Iteration  36  for n, p, epsilon =  100 1 0.75
 Iteration  30  for n, p, epsilon =  100 1 2.5
 Iteration  31  for n, p, epsilon =  100 1 1
 Iteration  41  for n, p, epsilon =  100 1 0.75
 Iteration  42  for n, p, epsilon =  100 1 0.75
 Iteration  32  for n, p, epsilon =  100 1 1
 Iteration  35  for n, p, epsilon =  100 1 1
 Iteration  29  for n, p, epsilon =  100 1 1000
 Iteration  33  for n, p, epsilon =  100 1 1
 Iteration  37  for n, p, epsilon =  100 1 1
 Iteration  38  for n, p, epsilon =  100 1 1
 Iteration  43  for n, p, epsilon =  100 1 1
 Iteration  34  for n, p, epsilon =  100 1 1
 Iteration  40  for n, p, epsilon =  100 1 1
 Iteration  39  for n, p, epsilon =  100 1 1
 Iteration  36  for n, p, epsilon =  100 1 1
 Iteration  31  for n, p, epsilon =  100 1 2.5
 Iteration  30  for n, p, epsilon =  100 1 1000
 Iteration  42  for n, p, epsilon =  100 1 1
 Iteration  41  for n, p, epsilon =  100 1 1
 Iteration  32  for n, p, epsilon =  100 1 2.5
 Iteration  33  for n, p, epsilon =  100 1 2.5
 Iteration  35  for n, p, epsilon =  100 1 2.5
 Iteration  43  for n, p, epsilon =  100 1 2.5
 Iteration  38  for n, p, epsilon =  100 1 2.5
 Iteration  37  for n, p, epsilon =  100 1 2.5
 Iteration  40  for n, p, epsilon =  100 1 2.5
 Iteration  39  for n, p, epsilon =  100 1 2.5
 Iteration  34  for n, p, epsilon =  100 1 2.5
 Iteration  31  for n, p, epsilon =  100 1 1000
 Iteration  36  for n, p, epsilon =  100 1 2.5
 Iteration  42  for n, p, epsilon =  100 1 2.5
 Iteration  32  for n, p, epsilon =  100 1 1000
 Iteration  41  for n, p, epsilon =  100 1 2.5
 Iteration  33  for n, p, epsilon =  100 1 1000
 Iteration  35  for n, p, epsilon =  100 1 1000
 Iteration  38  for n, p, epsilon =  100 1 1000
 Iteration  37  for n, p, epsilon =  100 1 1000
 Iteration  43  for n, p, epsilon =  100 1 1000
 Iteration  40  for n, p, epsilon =  100 1 1000
 Iteration  44  for n, p, epsilon =  100 1 0.5
 Iteration  39  for n, p, epsilon =  100 1 1000
 Iteration  34  for n, p, epsilon =  100 1 1000
 Iteration  45  for n, p, epsilon =  100 1 0.5
 Iteration  36  for n, p, epsilon =  100 1 1000
 Iteration  42  for n, p, epsilon =  100 1 1000
 Iteration  46  for n, p, epsilon =  100 1 0.5
 Iteration  41  for n, p, epsilon =  100 1 1000
 Iteration  50  for n, p, epsilon =  100 1 0.5
 Iteration  47  for n, p, epsilon =  100 1 0.5
 Iteration  49  for n, p, epsilon =  100 1 0.5
 Iteration  53  for n, p, epsilon =  100 1 0.5
 Iteration  52  for n, p, epsilon =  100 1 0.5
 Iteration  55  for n, p, epsilon =  100 1 0.5
 Iteration  51  for n, p, epsilon =  100 1 0.5
 Iteration  48  for n, p, epsilon =  100 1 0.5
 Iteration  54  for n, p, epsilon =  100 1 0.5
 Iteration  56  for n, p, epsilon =  100 1 0.5
 Iteration  44  for n, p, epsilon =  100 1 0.75
 Iteration  57  for n, p, epsilon =  100 1 0.5
 Iteration  46  for n, p, epsilon =  100 1 0.75
 Iteration  45  for n, p, epsilon =  100 1 0.75
 Iteration  58  for n, p, epsilon =  100 1 0.5
 Iteration  50  for n, p, epsilon =  100 1 0.75
 Iteration  47  for n, p, epsilon =  100 1 0.75
 Iteration  52  for n, p, epsilon =  100 1 0.75
 Iteration  49  for n, p, epsilon =  100 1 0.75
 Iteration  55  for n, p, epsilon =  100 1 0.75
 Iteration  51  for n, p, epsilon =  100 1 0.75
 Iteration  54  for n, p, epsilon =  100 1 0.75
 Iteration  53  for n, p, epsilon =  100 1 0.75
 Iteration  48  for n, p, epsilon =  100 1 0.75
 Iteration  56  for n, p, epsilon =  100 1 0.75
 Iteration  57  for n, p, epsilon =  100 1 0.75
 Iteration  46  for n, p, epsilon =  100 1 1
 Iteration  58  for n, p, epsilon =  100 1 0.75
 Iteration  47  for n, p, epsilon =  100 1 1
 Iteration  50  for n, p, epsilon =  100 1 1
 Iteration  49  for n, p, epsilon =  100 1 1
 Iteration  44  for n, p, epsilon =  100 1 1
 Iteration  45  for n, p, epsilon =  100 1 1
 Iteration  52  for n, p, epsilon =  100 1 1
 Iteration  55  for n, p, epsilon =  100 1 1
 Iteration  51  for n, p, epsilon =  100 1 1
 Iteration  53  for n, p, epsilon =  100 1 1
 Iteration  46  for n, p, epsilon =  100 1 2.5
 Iteration  57  for n, p, epsilon =  100 1 1
 Iteration  54  for n, p, epsilon =  100 1 1
 Iteration  48  for n, p, epsilon =  100 1 1
 Iteration  58  for n, p, epsilon =  100 1 1
 Iteration  56  for n, p, epsilon =  100 1 1
